CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
OTHER,02/22/2020 12:00:00 PM,20-012007,STALKING-FEL,12X,4200 TELEGRAPH AV,Oakland,CA,"4200 TELEGRAPH AV
Oakland, CA
(37.830858, -122.263995)"
BURG - AUTO,05/09/2020 09:00:00 PM,20-023484,ATTEMPTED BURGLARY-AUTO,07X,800 MILTON ST,Oakland,CA,"800 MILTON ST
Oakland, CA
(37.817192, -122.275474)"
FELONY ASSAULT,04/07/2020 09:15:00 AM,20-908315,ASSAULT,34X,9700 BIRCH ST,Oakland,CA,"9700 BIRCH ST
Oakland, CA
(37.747476, -122.165499)"
BURG - AUTO,04/15/2020 08:29:00 AM,20-019316,BURGLARY-AUTO,26Y,1100 66TH AV,Oakland,CA,"1100 66TH AV
Oakland, CA
(37.759478, -122.197371)"
OTHER,03/22/2020 08:28:00 AM,20-015656,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774568, -122.231174)"
BURG - RESIDENTIAL,05/04/2020 09:26:00 PM,20-022452,BURGLARY/ETC DURING STATE OF EMERGENCY/ETC,12X,500 43RD ST,Oakland,CA,"500 43RD ST
Oakland, CA
(37.831564, -122.263801)"
WEAPONS,04/12/2020 01:25:00 PM,20-018883,EXHIBIT FIREARM,26Y,1300 65TH AV,Oakland,CA,"1300 65TH AV
Oakland, CA
(37.761958, -122.195142)"
ARSON,03/06/2020 10:00:00 PM,20-015659,ARSON:INHABITED STRUCTURE/PROPERTY,07X,2400 FILBERT ST,Oakland,CA,"2400 FILBERT ST
Oakland, CA
(37.816929, -122.280044)"
PETTY THEFT,04/29/2020 11:30:00 AM,20-021596,PETTY THEFT,02Y,900 CAMPBELL VILLAGE CT,Oakland,CA,"900 CAMPBELL VILLAGE CT
Oakland, CA
(37.807818, -122.299561)"
PETTY THEFT,03/20/2020 05:00:00 PM,20-015586,THEFT,27Y,5400 PRINCETON ST,Oakland,CA,"5400 PRINCETON ST
Oakland, CA
(37.77091, -122.200627)"
NARCOTICS,05/03/2020 10:25:00 PM,20-022298,FORGE/ALTER NARCOTIC PRESCRIPTION,26Y,7100 INTERNATIONAL BLVD,Oakland,CA,"7100 INTERNATIONAL BLVD
Oakland, CA
(37.760028, -122.188818)"
NARCOTICS,04/03/2020 08:35:00 AM,20-017512,PROB VIOL:REAREST/REVOKE,19X,500 KENNEDY ST,Oakland,CA,"500 KENNEDY ST
Oakland, CA
(37.774065, -122.237133)"
ROBBERY,03/24/2020 11:17:00 AM,20-015975,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",77X,300 BROOKLYN AVE,Oakland,CA,"300 BROOKLYN AVE
Oakland, CA"
PROSTITUTION,04/12/2020 07:46:00 PM,20-018922,LOITER:INTENT:PROSTITUTION,20X,2400 INTERNATIONAL BLVD,Oakland,CA,"2400 INTERNATIONAL BLVD
Oakland, CA
(37.78238, -122.234225)"
OTHER,03/22/2020 11:54:00 PM,20-015628,ENTER/ETC NONCOMMERCIAL DWELLING,21X,2500 26TH AV,Oakland,CA,"2500 26TH AV
Oakland, CA
(37.789875, -122.22413)"
WEAPONS,04/12/2020 01:25:00 PM,20-018883,CONSPIRACY:COMMIT CRIME,26Y,1300 65TH AV,Oakland,CA,"1300 65TH AV
Oakland, CA
(37.761958, -122.195142)"
OTHER,05/21/2020 01:01:00 PM,20-025241,EXHIBIT FIREARM,10Y,700 41ST ST,Oakland,CA,"700 41ST ST
Oakland, CA
(37.830759, -122.269336)"
FELONY ASSAULT,03/22/2020 12:27:00 AM,20-015634,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,17X,1600 11TH AV,Oakland,CA,"1600 11TH AV
Oakland, CA
(37.792772, -122.246856)"
GRAND THEFT,03/20/2020 08:30:00 PM,20-015597,GRAND THEFT,13Z,1900 MOUNTAIN BLVD,Oakland,CA,"1900 MOUNTAIN BLVD
Oakland, CA
(37.829079, -122.210837)"
BURG - OTHER,04/19/2020 06:20:00 AM,20-908820,BURGLARY-NO FORCE,14X,400 LAGUNITAS AV,Oakland,CA,"400 LAGUNITAS AV
Oakland, CA
(37.80984, -122.251305)"
GRAND THEFT,03/21/2020 02:00:00 PM,20-015695,GRAND THEFT,01X,100 2ND ST,Oakland,CA,"100 2ND ST
Oakland, CA
(37.792833, -122.268125)"
,05/25/2020 07:41:00 AM,20-025795,ASSAULT WITH FIREARM ON PERSON,29X,5500 BLK OF TRASK ST,Oakland,CA,"5500 BLK OF TRASK ST
Oakland, CA
(37.773077, -122.196407)"
EMBEZZLEMENT,02/03/2020 01:00:00 PM,20-018324,EMBEZZLE LEASED/RENTED VEHICLE,08X,3000 BROADWAY,Oakland,CA,"3000 BROADWAY
Oakland, CA
(37.818822, -122.262056)"
OTHER,01/27/2020 09:00:00 AM,20-905557,MAIL/ETC THEFT/ETC,03Y,1100 BROADWAY,Oakland,CA,"1100 BROADWAY
Oakland, CA
(37.802605, -122.272267)"
OTHER,04/17/2020 05:05:00 PM,20-019682,PROB VIOL:REAREST/REVOKE,02X,1000 POPLAR ST,Oakland,CA,"1000 POPLAR ST
Oakland, CA
(37.807347, -122.290318)"
MISDEMEANOR ASSAULT,03/21/2020 10:42:00 PM,20-015618,BATTERY,30X,7600 HALLIDAY AV,Oakland,CA,"7600 HALLIDAY AV
Oakland, CA
(37.763693, -122.176046)"
PETTY THEFT,04/07/2020 07:00:00 AM,20-018624,THEFT,21Y,2700 SCHOOL ST,Oakland,CA,"2700 SCHOOL ST
Oakland, CA
(37.795804, -122.217789)"
ROBBERY,04/04/2020 07:40:00 PM,20-017743,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,3200 SAN PABLO AV,Oakland,CA,"3200 SAN PABLO AV
Oakland, CA
(37.822525, -122.277063)"
,04/11/2020 04:00:00 PM,20-018859,VEHICLE THEFT - AUTO,32Y,2100 99TH AV,Oakland,CA,"2100 99TH AV
Oakland, CA
(37.745834, -122.161179)"
FELONY ASSAULT,03/21/2020 12:00:00 AM,20-015562,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,27Y,5800 BANCROFT AV,Oakland,CA,"5800 BANCROFT AV
Oakland, CA
(37.771009, -122.192459)"
DOMESTIC VIOLENCE,03/29/2020 11:30:00 PM,20-016787,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,32X,1000 102ND AV,Oakland,CA,"1000 102ND AV
Oakland, CA
(37.738472, -122.174045)"
FELONY ASSAULT,05/08/2020 08:00:00 PM,20-023156,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,05X,1600 ADELINE ST,Oakland,CA,"1600 ADELINE ST
Oakland, CA
(37.811056, -122.285587)"
MISDEMEANOR ASSAULT,04/16/2020 12:50:00 AM,20-019448,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,20X,1500 27TH AV,Oakland,CA,"1500 27TH AV
Oakland, CA
(37.781602, -122.230671)"
FORGERY & COUNTERFEITING,04/14/2020 10:00:00 PM,20-908893,THEFT BY USE OF ACCESS CARD,32Y,9900 VOLTAIRE AV,Oakland,CA,"9900 VOLTAIRE AV
Oakland, CA
(37.746793, -122.157767)"
BURG - AUTO,03/21/2020 07:15:00 PM,20-015654,BURGLARY-AUTO,02X,700 13TH ST,Oakland,CA,"700 13TH ST
Oakland, CA
(37.805784, -122.276999)"
BURG - AUTO,04/18/2020 05:00:00 PM,20-908800,BURGLARY-AUTO,01X,100 WEBSTER ST,Oakland,CA,"100 WEBSTER ST
Oakland, CA
(37.79469, -122.27421)"
STOLEN VEHICLE,04/08/2020 08:00:00 PM,20-018385,VEHICLE THEFT - AUTO,07X,1000 26TH ST,Oakland,CA,"1000 26TH ST
Oakland, CA
(37.817974, -122.279542)"
MISDEMEANOR ASSAULT,03/17/2020 06:50:00 AM,20-014876,BATTERY,08X,500 31ST ST,Oakland,CA,"500 31ST ST
Oakland, CA
(37.819997, -122.266913)"
RECOVERED O/S STOLEN,03/22/2020 03:15:00 AM,20-015642,VEHICLE THEFT - AUTO,23X,4100 SAN LEANDRO,Oakland,CA,"4100 SAN LEANDRO
Oakland, CA
(37.771265, -122.218477)"
STOLEN VEHICLE,03/17/2020 06:30:00 AM,20-015036,VEHICLE THEFT - AUTO,31Y,400 JONES AV,Oakland,CA,"400 JONES AV
Oakland, CA
(37.734804, -122.188907)"
PETTY THEFT,03/21/2020 07:40:00 AM,20-015600,ATTEMPT THEFT,31X,400 HEGENBERGER RD,Oakland,CA,"400 HEGENBERGER RD
Oakland, CA
(37.735772, -122.197083)"
STOLEN VEHICLE,02/06/2020 09:42:00 AM,20-007170,VEHICLE THEFT - AUTO,20X,2500 FOOTHILL BLVD,Oakland,CA,"2500 FOOTHILL BLVD
Oakland, CA
(37.784648, -122.23035)"
FRAUD,04/17/2020 09:00:00 PM,20-908766,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Z,7200 WOODROW DR,Oakland,CA,"7200 WOODROW DR
Oakland, CA
(37.832011, -122.196099)"
MISDEMEANOR ASSAULT,04/25/2020 09:20:00 PM,20-020994,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,22X,3500 DIMOND AV,Oakland,CA,"3500 DIMOND AV
Oakland, CA
(37.801005, -122.217148)"
,05/19/2020 12:20:00 AM,20-910570,VANDALISM,31Y,00 HEGENBERGER LOOP,Oakland,CA,"00 HEGENBERGER LOOP
Oakland, CA"
WEAPONS,04/12/2020 01:25:00 PM,20-018883,ANY PERSON WHO WILLFULLY THREATENS TO COMMIT A CRIME WHICH WILL RESULT IN DEATH OR GREAT BODILY INJURY TO ANOTHER PERSON,26Y,1300 65TH AV,Oakland,CA,"1300 65TH AV
Oakland, CA
(37.761958, -122.195142)"
VANDALISM,04/27/2020 08:30:00 AM,20-909385,VANDALISM,23X,3400 E 12TH ST,Oakland,CA,"3400 E 12TH ST
Oakland, CA
(37.776022, -122.224006)"
PROSTITUTION,04/25/2020 08:57:00 AM,20-020899,LOITER:INTENT:PROSTITUTION,19X,1800 E 15TH ST,Oakland,CA,"1800 E 15TH ST
Oakland, CA
(37.787925, -122.241298)"
DOMESTIC VIOLENCE,04/12/2020 01:28:00 AM,20-018811,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,33X,9200 B ST,Oakland,CA,"9200 B ST
Oakland, CA
(37.746931, -122.177003)"
FELONY ASSAULT,04/27/2020 08:00:00 PM,20-021328,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,34X,9200 SUNNYSIDE ST,Oakland,CA,"9200 SUNNYSIDE ST
Oakland, CA
(37.751807, -122.165824)"
STOLEN VEHICLE,03/21/2020 06:30:00 PM,20-016847,VEHICLE THEFT - AUTO,27Y,5300 INTERNATIONAL BLVD,Oakland,CA,"5300 INTERNATIONAL BLVD
Oakland, CA
(37.767992, -122.205673)"
VANDALISM,02/03/2020 06:00:00 AM,20-016841,DAMAGE/ETC PROPERTY TO VIOLATE CIVIL RIGHTS,02Y,2800 7TH ST,Oakland,CA,"2800 7TH ST
Oakland, CA
(37.808105, -122.320735)"
WEAPONS,04/27/2020 05:18:00 PM,20-021283,CARRY CONCEALED WEAPON IN VEHICLE,18Y,2600 WALLACE ST,Oakland,CA,"2600 WALLACE ST
Oakland, CA
(37.795746, -122.23347)"
PETTY THEFT,04/20/2020 11:00:00 AM,20-020072,THEFT,26Y,6400 FENHAM ST,Oakland,CA,"6400 FENHAM ST
Oakland, CA
(37.76112, -122.199265)"
GRAND THEFT,03/21/2020 06:00:00 PM,20-908945,THEFT,08X,3700 SHAFTER AV,Oakland,CA,"3700 SHAFTER AV
Oakland, CA
(37.825055, -122.260535)"
GRAND THEFT,04/08/2020 01:30:00 PM,20-908284,GRAND THEFT,08X,00 PEARL ST,Oakland,CA,"00 PEARL ST
Oakland, CA"
DISORDERLY CONDUCT,03/20/2020 07:45:00 AM,20-907660,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,22X,2500 LEIMERT BLVD,Oakland,CA,"2500 LEIMERT BLVD
Oakland, CA
(37.816536, -122.205529)"
STOLEN VEHICLE,04/20/2020 06:00:00 PM,20-020184,VEHICLE THEFT - AUTO,22Y,11300 SKYLINE BLVD,Oakland,CA,"11300 SKYLINE BLVD
Oakland, CA
(37.80478, -122.17902)"
BURG - AUTO,05/13/2020 08:02:00 PM,20-032913,VANDALISM-$400,30X,1700 82ND AV,Oakland,CA,"1700 82ND AV
Oakland, CA
(37.757489, -122.175713)"
GRAND THEFT,02/17/2020 01:00:00 AM,20-907118,GRAND THEFT,08X,34TH ST & TELEGRAPH AV,Oakland,CA,"34TH ST & TELEGRAPH AV
Oakland, CA
(37.822464, -122.266248)"
,06/01/2014 07:00:00 PM,20-013416,BATTERY W/SERIOUS BODILY INJURY,21X,2400 E 24TH ST,Oakland,CA,"2400 E 24TH ST
Oakland, CA
(37.789528, -122.227257)"
NARCOTICS,03/30/2020 10:00:00 AM,20-016868,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,77X,2000 W GRAND AV,Oakland,CA,"2000 W GRAND AV
Oakland, CA"
NARCOTICS,03/31/2020 12:45:00 AM,20-016985,VEHICLE THEFT - AUTO,03X,600 JACKSON ST,Oakland,CA,"600 JACKSON ST
Oakland, CA
(37.796522, -122.268665)"
BURG - AUTO,03/15/2020 07:25:00 PM,20-907291,BURGLARY-AUTO,12X,300 40TH ST,Oakland,CA,"300 40TH ST
Oakland, CA
(37.827664, -122.256802)"
PETTY THEFT,03/26/2020 09:00:00 PM,20-016593,THEFT,22Y,4100 NORTON AV,Oakland,CA,"4100 NORTON AV
Oakland, CA
(37.799753, -122.196039)"
NARCOTICS,03/28/2020 03:21:00 PM,20-016603,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,19X,1600 E12TH ST,Oakland,CA,"1600 E12TH ST
Oakland, CA
(37.787436, -122.244845)"
FELONY ASSAULT,03/28/2020 02:48:00 AM,20-016580,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,08X,600 23RD ST,Oakland,CA,"600 23RD ST
Oakland, CA
(37.813099, -122.271611)"
STOLEN VEHICLE,04/19/2020 09:00:00 PM,20-020066,VEHICLE THEFT - AUTO,07X,1000 24TH ST,Oakland,CA,"1000 24TH ST
Oakland, CA
(37.816472, -122.28021)"
DOMESTIC VIOLENCE,02/22/2020 03:04:00 PM,20-010339,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,35X,8900 LAWLOR ST,Oakland,CA,"8900 LAWLOR ST
Oakland, CA
(37.757104, -122.159538)"
WEAPONS,04/13/2020 09:30:00 PM,20-019087,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,24Y,3500 ALLENDALE AV,Oakland,CA,"3500 ALLENDALE AV
Oakland, CA
(37.789002, -122.208629)"
STOLEN VEHICLE,03/06/2020 04:05:00 AM,20-906685,ATTEMPT VEHICLE THEFT-AUTO,29X,3000 60TH AV,Oakland,CA,"3000 60TH AV
Oakland, CA
(37.77399, -122.185684)"
MISDEMEANOR ASSAULT,02/16/2020 07:00:00 PM,20-009192,BATTERY,27X,5100 FOOTHILL BLVD,Oakland,CA,"5100 FOOTHILL BLVD
Oakland, CA
(37.772637, -122.205087)"
FRAUD,02/05/2020 11:15:00 AM,20-905554,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,06X,800 30TH ST,Oakland,CA,"800 30TH ST
Oakland, CA
(37.820062, -122.273627)"
VANDALISM,04/15/2020 02:45:00 PM,20-908941,VANDALISM,20X,2300 INTERNATIONAL BLVD,Oakland,CA,"2300 INTERNATIONAL BLVD
Oakland, CA
(37.783179, -122.235558)"
DOMESTIC VIOLENCE,02/08/2020 08:30:00 PM,20-009053,KIDNAPPING,26Y,1300 79TH AV,Oakland,CA,"1300 79TH AV
Oakland, CA
(37.756348, -122.183937)"
PETTY THEFT,04/26/2020 09:20:00 PM,20-021148,THEFT,02X,1200 UNION ST,Oakland,CA,"1200 UNION ST
Oakland, CA
(37.808823, -122.288734)"
DOMESTIC VIOLENCE,03/29/2020 02:00:00 PM,20-016810,CONTEMPT OF COURT:DISOBEY COURT ORDER/PROCESS (AMENDED),30Y,7900 MACARTHUR BLVD,Oakland,CA,"7900 MACARTHUR BLVD
Oakland, CA
(37.765231, -122.167085)"
ROBBERY,08/05/2019 09:00:00 AM,20-016827,ROBBERY-FIREARM,33X,1100 84TH AV,Oakland,CA,"1100 84TH AV
Oakland, CA
(37.751796, -122.182573)"
MISDEMEANOR ASSAULT,03/21/2020 06:30:00 PM,20-015588,THREAT CRIME:INT:TERRORIZE,31Y,500 98TH AV,Oakland,CA,"500 98TH AV
Oakland, CA
(37.734987, -122.183938)"
OTHER,04/08/2020 04:45:00 AM,20-018258,MAIL/ETC THEFT/ETC,14X,200 MACARTHUR BLVD,Oakland,CA,"200 MACARTHUR BLVD
Oakland, CA
(37.817623, -122.253038)"
DOMESTIC VIOLENCE,03/21/2020 11:08:00 AM,20-015550,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Z,600 EL PASEO DR,Oakland,CA,"600 EL PASEO DR
Oakland, CA
(37.730512, -122.17715)"
FELONY ASSAULT,03/13/2020 11:15:00 AM,20-014230,"FORCE/ADW-HANDS, FISTS, FEET:GBI",32X,1000 98TH AV,Oakland,CA,"1000 98TH AV
Oakland, CA
(37.740697, -122.177765)"
WEAPONS,05/21/2020 02:00:00 PM,20-023803,POSSESS/CONTROL SLOT MACHINE/ETC,19X,1800 SOLANO WY,Oakland,CA,"1800 SOLANO WY
Oakland, CA
(37.786616, -122.242371)"
ROBBERY,05/09/2020 02:08:00 PM,20-023255,ROBBERY-FIREARM,19X,700 INTERNATIONAL BLVD,Oakland,CA,"700 INTERNATIONAL BLVD
Oakland, CA
(37.794281, -122.252182)"
STOLEN VEHICLE,04/10/2020 07:00:00 AM,20-018723,VEHICLE THEFT - AUTO,18Y,2200 17TH AV,Oakland,CA,"2200 17TH AV
Oakland, CA
(37.7935, -122.237549)"
BURG - OTHER,02/07/2020 05:31:00 PM,20-905556,BURGLARY-FORCIBLE ENTRY,20X,2700 INTERNATIONAL BLVD,Oakland,CA,"2700 INTERNATIONAL BLVD
Oakland, CA
(37.780634, -122.231243)"
STOLEN VEHICLE,03/20/2020 07:00:00 PM,20-015696,VEHICLE THEFT - AUTO,23X,900 39TH AV,Oakland,CA,"900 39TH AV
Oakland, CA
(37.771522, -122.22116)"
VANDALISM,03/05/2020 08:15:00 PM,20-906647,VANDALISM,08X,2400 WEBSTER ST,Oakland,CA,"2400 WEBSTER ST
Oakland, CA
(37.813446, -122.264865)"
,03/11/2020 07:29:00 PM,20-013933,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,88TH AV & A ST,Oakland,CA,"88TH AV & A ST
Oakland, CA
(37.750308, -122.177332)"
NARCOTICS,04/09/2020 06:36:00 PM,20-018493,POSSESS CONTROLLED SUBSTANCE,33X,8200 A ST,Oakland,CA,"8200 A ST
Oakland, CA
(37.754249, -122.181486)"
DISORDERLY CONDUCT,02/27/2020 09:25:00 PM,20-011586,DISTURB THE PEACE,27Y,64TH AV & BROMLEY AV,Oakland,CA,"64TH AV & BROMLEY AV
Oakland, CA
(37.764804, -122.193098)"
DOMESTIC VIOLENCE,04/11/2020 01:30:00 PM,20-018729,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,3200 SAN PABLO AV,Oakland,CA,"3200 SAN PABLO AV
Oakland, CA
(37.822525, -122.277063)"
NARCOTICS,04/12/2020 09:22:00 AM,20-018852,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM,19X,1400 INTERNATIONAL BLVD,Oakland,CA,"1400 INTERNATIONAL BLVD
Oakland, CA
(37.789203, -122.245725)"
PETTY THEFT,03/17/2020 07:45:00 AM,20-015380,THEFT,01X,400 OAK ST,Oakland,CA,"400 OAK ST
Oakland, CA
(37.793988, -122.267298)"
,03/16/2020 05:30:00 PM,20-015024,VEHICLE THEFT - AUTO,31Y,00 ELDRIDGE AV,Oakland,CA,"00 ELDRIDGE AV
Oakland, CA"
FELONY ASSAULT,02/19/2020 07:40:00 PM,20-009816,ASSAULT WITH FIREARM ON PERSON,31Z,300 BERGEDO DR,Oakland,CA,"300 BERGEDO DR
Oakland, CA
(37.727316, -122.175515)"
BURG - AUTO,03/13/2020 12:00:00 AM,20-014579,BURGLARY-AUTO,11X,5300 TELEGRAPH AV,Oakland,CA,"5300 TELEGRAPH AV
Oakland, CA
(37.838917, -122.262077)"
GRAND THEFT,03/13/2020 09:15:00 AM,20-907360,THEFT,04X,300 LAKESIDE DR,Oakland,CA,"300 LAKESIDE DR
Oakland, CA
(37.808086, -122.263402)"
PETTY THEFT,04/13/2020 05:35:00 PM,20-019059,THEFT,30X,8000 HOLLY ST,Oakland,CA,"8000 HOLLY ST
Oakland, CA
(37.757782, -122.178289)"
GRAND THEFT,10/26/2019 10:00:00 AM,20-011727,GRAND THEFT,01X,100 4TH ST,Oakland,CA,"100 4TH ST
Oakland, CA
(37.794197, -122.267262)"
STOLEN VEHICLE,04/11/2020 04:00:00 PM,20-018877,VEHICLE THEFT - AUTO,09X,700 KINGSTON AV,Oakland,CA,"700 KINGSTON AV
Oakland, CA
(37.822863, -122.250189)"
VANDALISM,04/10/2020 02:29:00 PM,20-018591,VANDALISM,26Y,1200 77TH AV,Oakland,CA,"1200 77TH AV
Oakland, CA
(37.75599, -122.186781)"
RECOVERED O/S STOLEN,04/10/2020 12:00:00 AM,20-019004,RECEIVE/ETC KNOWN STOLEN PROPERTY,26X,HIGH ST & SAN LEANDRO ST,Oakland,CA,"HIGH ST & SAN LEANDRO ST
Oakland, CA
(37.770611, -122.217148)"
BURG - AUTO,02/22/2020 07:08:00 PM,20-907381,BURGLARY-AUTO,01X,100 WASHINGTON ST,Oakland,CA,"100 WASHINGTON ST
Oakland, CA
(37.795899, -122.278007)"
DOMESTIC VIOLENCE,04/27/2020 01:44:00 PM,20-021246,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35Y,9400 MOUNTAIN BLVD,Oakland,CA,"9400 MOUNTAIN BLVD
Oakland, CA
(37.758991, -122.147465)"
FORGERY & COUNTERFEITING,04/20/2020 12:00:00 AM,20-908858,MAIL/ETC THEFT/ETC,04X,1500 JACKSON ST,Oakland,CA,"1500 JACKSON ST
Oakland, CA
(37.802902, -122.264655)"
OTHER SEX OFFENSES,04/11/2020 01:29:00 PM,20-018812,INDECENT EXPOSURE,04X,100 15TH ST,Oakland,CA,"100 15TH ST
Oakland, CA
(37.80243, -122.26349)"
MISDEMEANOR ASSAULT,04/12/2020 10:55:00 PM,20-018948,BATTERY,26Y,800 69TH AV,Oakland,CA,"800 69TH AV
Oakland, CA
(37.755298, -122.198672)"
,03/14/2020 09:28:00 PM,20-014508,ROBBERY-FIREARM,17X,1000 E 21ST ST,Oakland,CA,"1000 E 21ST ST
Oakland, CA
(37.796553, -122.243079)"
MISDEMEANOR ASSAULT,02/01/2009 09:09:00 PM,20-018510,DISTURB THE PEACE,05X,1900 CHESTNUT ST,Oakland,CA,"1900 CHESTNUT ST
Oakland, CA
(37.812805, -122.283789)"
FRAUD,10/01/2019 12:55:00 PM,20-909163,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,99X,3000 WILSHIRE BOULEVARD,Oakland,CA,"3000 WILSHIRE BOULEVARD
Oakland, CA"
,05/27/2020 10:45:00 AM,20-910907,BURGLARY-FORCIBLE ENTRY,,108TH AVE,Oakland,CA,"108TH AVE
Oakland, CA"
OTHER,04/13/2020 09:00:00 PM,20-019122,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,19X,2000 MARIN WY,Oakland,CA,"2000 MARIN WY
Oakland, CA
(37.78601, -122.239181)"
RECOVERED O/S STOLEN,03/22/2020 10:36:00 AM,20-015670,VEHICLE THEFT - AUTO,26X,500 INDEPENDENT RD,Oakland,CA,"500 INDEPENDENT RD
Oakland, CA
(37.755159, -122.208286)"
BURG - AUTO,02/25/2020 07:15:00 PM,20-905885,BURGLARY-AUTO,12X,4000 OPAL ST,Oakland,CA,"4000 OPAL ST
Oakland, CA
(37.828305, -122.258754)"
NARCOTICS,04/13/2020 09:50:00 PM,20-019092,POSSESS NARCOTIC CONTROLLED SUBSTANCE,02X,1100 10TH ST,Oakland,CA,"1100 10TH ST
Oakland, CA
(37.806388, -122.286105)"
,05/26/2020 08:48:00 PM,20-026122,BATTERY,25X,4800 REINHARDT DR,Oakland,CA,"4800 REINHARDT DR
Oakland, CA
(37.786431, -122.181462)"
DOMESTIC VIOLENCE,03/26/2020 02:39:00 PM,20-016860,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,28X,2600 MAXWELL AV,Oakland,CA,"2600 MAXWELL AV
Oakland, CA
(37.777321, -122.198451)"
WEAPONS,04/25/2020 01:26:00 PM,20-020941,MISD-CARRY CONCEALED WEAPON IN VEHICLE: OCCUPANT,20X,3000 CHAPMAN ST,Oakland,CA,"3000 CHAPMAN ST
Oakland, CA
(37.772636, -122.231253)"
VANDALISM,02/03/2020 06:00:00 AM,20-016841,VANDALISM (AMENDED),02Y,2800 7TH ST,Oakland,CA,"2800 7TH ST
Oakland, CA
(37.808105, -122.320735)"
WEAPONS,04/25/2020 12:14:00 AM,20-020855,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,19X,1500 INTERNATIONAL BLVD,Oakland,CA,"1500 INTERNATIONAL BLVD
Oakland, CA
(37.788937, -122.245185)"
FRAUD,11/09/2017 03:15:00 PM,20-905860,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,27X,4500 ELLEN ST,Oakland,CA,"4500 ELLEN ST
Oakland, CA
(37.776429, -122.208004)"
VANDALISM,03/16/2020 10:00:00 AM,20-908437,VANDALISM,31X,600 HEGENBERGER RD,Oakland,CA,"600 HEGENBERGER RD
Oakland, CA
(37.744964, -122.195947)"
RECOVERED O/S STOLEN,04/10/2020 12:00:00 AM,20-019004,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",26X,HIGH ST & SAN LEANDRO ST,Oakland,CA,"HIGH ST & SAN LEANDRO ST
Oakland, CA
(37.770611, -122.217148)"
WEAPONS,04/13/2020 09:30:00 PM,20-019087,CARRY LOADED HANDGUN: NOT REG OWNER,24Y,3500 ALLENDALE AV,Oakland,CA,"3500 ALLENDALE AV
Oakland, CA
(37.789002, -122.208629)"
STOLEN VEHICLE,03/13/2020 11:00:00 AM,20-014793,VEHICLE THEFT - AUTO,32Y,2400 99TH AV,Oakland,CA,"2400 99TH AV
Oakland, CA
(37.747372, -122.157196)"
STOLEN VEHICLE,03/27/2020 11:30:00 PM,20-016845,VEHICLE THEFT - AUTO,13X,5800 MENDOCINO AV,Oakland,CA,"5800 MENDOCINO AV
Oakland, CA
(37.843919, -122.244401)"
WEAPONS,04/12/2020 01:25:00 PM,20-018883,FALSE IDENTIFICATION TO SPECIFIC PEACE OFFICER,26Y,1300 65TH AV,Oakland,CA,"1300 65TH AV
Oakland, CA
(37.761958, -122.195142)"
PETTY THEFT,02/17/2020 07:26:00 PM,20-009363,THEFT,02Y,700 WOOD ST,Oakland,CA,"700 WOOD ST
Oakland, CA
(37.807312, -122.302262)"
